species	lmax	amax
Glyptocephalus cynoglossus	NA	NA
Glyptocephalus kitaharai	NA	NA
Gnathanodon speciosus	81	NA
Gobionellus microdon	NA	NA
Gobionotothen gibberifrons	53	NA
Gobiosoma robustum	NA	NA
Gobius cobitis	NA	NA
Gobius niger	NA	NA
Gobius paganellus	NA	NA
Gymnapistes marmoratus	NA	NA
Gymnarchus niloticus	150	NA
Gymnelus viridis	20	NA
Gymnocanthus tricuspis	NA	NA
Gymnocephalus cernuus	NA	NA
Gymnocranius audleyi	31.9	NA
Gymnocranius euanus	NA	NA
Gymnocranius grandoculis	NA	NA
Haemulon album	NA	NA
Haemulon aurolineatum	NA	NA
Haemulon bonariense	NA	NA
Haemulon flavolineatum	NA	NA
Haemulon melanurum	NA	NA
Haemulon parra	NA	NA
Haemulon plumieri	NA	NA
Haemulon sciurus	NA	NA
Halichoeres poecilopterus	20	NA
Halichoeres radiatus	NA	NA
Hampala macrolepidota	NA	NA
Haplochromis macconneli	NA	NA
Harengula humeralis	NA	NA
Harengula jaguana	NA	NA
Harpadon nehereus	NA	NA
Helicolenus dactylopterus dactylopterus	26.5	NA
Hemichromis fasciatus	NA	NA
Hemiramphus brasiliensis	31	NA
Hepsetus odoe	37	NA
Herklotsichthys quadrimaculatus	NA	NA
Heterobranchus longifilis	115	NA
Heteropneustes fossilis	17.5	NA
Heterotis niloticus	NA	NA
Hexagrammos agrammus	NA	NA
Hilsa kelee	40	NA
Hippocampus erectus	NA	NA
Hippocampus zosterae	NA	NA
Hippoglossoides platessoides	NA	30
Hippoglossoides robustus	32.4	NA
Hippoglossus hippoglossus	NA	30
Hippoglossus stenolepis	NA	NA
Hippopotamyrus discorhynchus	32	NA
Hipposcarus longiceps	NA	NA
Hirundichthys affinis	24	NA
Holocentrus ascensionis	34	NA
Holocentrus rufus	23	NA
Hoplostethus atlanticus	44.35	NA
Hoplostethus mediterraneus mediterraneus	16.2	NA
Howella brodiei	NA	NA
Huso dauricus	NA	NA
Huso huso	NA	NA
Hydrocynus forskalii	58	NA
Hydrocynus vittatus	47	NA
Hydrolagus colliei	NA	NA
Hyperoglyphe antarctica	103	NA
Hyperprosopon anale	NA	NA
Hypodytes rubripinnis	NA	NA
Hypomesus olidus	NA	NA
Hypophthalmichthys molitrix	95.2	NA
Hypoptychus dybowskii	NA	NA
Hyporhamphus melanochir	NA	NA
Ichthyborus besse besse	NA	NA
Icosteus aenigmaticus	NA	NA
Ictalurus punctatus	NA	NA
Idiacanthus antrostomus	NA	NA
Ilisha africana	19	NA
Ilisha filigera	NA	NA
Isogomphodon oxyrhynchus	152	NA
Isopsetta isolepis	NA	NA
Istiophorus albicans	NA	NA
Istiophorus platypterus	300	NA
Isurus oxyrinchus	336	NA
Jenkinsia lamprotaenia	NA	NA
Johnius borneensis	NA	NA
Johnius carutta	25	NA
Johnius dussumieri	22.5	NA
Johnius macrorhynus	NA	NA
Kali normani	NA	NA
Karalepis stewarti	NA	NA
Kathetostoma averruncus	NA	NA
Katsuwonus pelamis	90.5	NA
Kyphosus cinerascens	NA	NA
Labeo coubie	39	NA
Labeo fimbriatus	NA	NA
Labeo gonius	72	NA
Labeo horie	NA	NA
Labeo niloticus	NA	NA
Labeo rohita	88	NA
Labeo senegalensis	NA	NA
Labidesthes sicculus	NA	NA
Labrus bergylta	46	NA
Labrus merula	NA	NA
Labrus mixtus	NA	NA
Lachnolaimus maximus	NA	NA
Lactarius lactarius	NA	NA
Lagocephalus sceleratus	NA	NA
Lagodon rhomboides	NA	NA
Lamna nasus	NA	NA
Lampanyctodes hectoris	7	NA
Lampetra planeri	NA	NA
Larimichthys polyactis	NA	NA
Larimus fasciatus	NA	NA
Lateolabrax japonicus	NA	NA
Lates calcarifer	190	NA
Lates longispinis	NA	NA
Lates niloticus	NA	NA
Lates stappersii	NA	NA
Latimeria chalumnae	NA	NA
Latridopsis ciliaris	80	NA
Leiognathus bindus	14	NA
Leiognathus blochii	NA	NA
Leiognathus brevirostris	NA	NA
Leiognathus daura	NA	NA
Leiognathus decorus	NA	NA
Leiognathus elongatus	NA	NA
Leiognathus equulus	21.5	NA
Leiognathus leuciscus	NA	NA
Leiognathus lineolatus	NA	NA
Leiognathus nuchalis	NA	NA
Leiognathus splendens	NA	2.3
Leiopotherapon plumbeus	NA	NA
Leiostomus xanthurus	NA	NA
Lepidion lepidion	NA	NA
Lepidogobius lepidus	88	NA
Lepidonotothen kempi	NA	NA
Lepidonotothen larseni	NA	NA
Lepidonotothen squamifrons	43	NA
Lepidophanes guentheri	6	NA
Lepidopsetta bilineata	NA	NA
